"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"2","1.001","109","94","100","38"
"3","1.001","109","94","100","90"
"1","1.001","111","94","100","40"
"4","1.001","104","94","100","140"
"2","1.001","110","94","100","38"
"3","1.001","110","94","100","90"
"1","1.001","112","94","100","40"
"4","1.001","105","94","100","140"
"2","1.001","111","94","100","38"
"3","1.001","111","94","100","90"
"1","1.001","113","94","100","40"
"4","1.001","106","94","100","140"
"2","1.001","112","94","100","38"
"3","1.001","112","94","100","90"
"1","1.001","114","94","100","40"
"4","1.001","107","94","100","140"
"2","1.001","113","94","100","38"
"3","1.001","113","94","100","90"
"1","1.001","115","94","100","40"
"2","1.001","114","94","100","38"
"3","1.001","114","94","100","90"
"1","1.001","116","94","100","40"
"4","1.001","108","94","100","140"
"2","1.001","115","94","100","38"
"3","1.001","115","94","100","90"
"1","1.001","117","94","100","40"
"4","1.001","109","94","100","140"
"2","1.001","116","94","100","38"
"1","1.001","118","94","100","40"
"3","1.001","116","94","100","90"
"4","1.001","110","94","100","140"
"2","1.001","117","94","100","38"
"1","1.001","119","94","100","40"
"3","1.001","117","94","100","90"
"4","1.001","111","94","100","140"
"2","1.001","118","94","100","38"
"1","1.001","120","94","100","40"
"3","1.001","118","94","100","90"
"4","1.001","112","94","100","140"
"1","1.001","121","94","100","40"
"2","1.001","119","94","100","38"
"3","1.001","119","94","100","90"
"4","1.001","113","94","100","140"
"1","1.001","122","94","100","40"
"2","1.001","120","94","100","38"
"3","1.001","120","94","100","90"
"4","1.001","114","94","100","140"
"1","1.001","123","94","100","40"
"2","1.001","121","94","100","38"
"3","1.001","121","94","100","90"
"4","1.001","115","94","100","140"
"1","1.001","124","94","100","40"
"3","1.001","122","94","100","90"
"2","1.001","122","94","100","38"
"4","1.001","116","94","100","140"
"1","1.001","125","94","100","40"
"3","1.001","123","94","100","90"
"2","1.001","123","94","100","38"
"4","1.001","117","94","100","140"
"1","1.001","126","94","100","40"
"3","1.001","124","94","100","90"
"2","1.001","124","94","100","38"
"4","1.001","118","94","100","140"
