BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;;
06/13/2020 19:10:48:149 +0200;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;
-72;72;-72;72;;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;gui-death_rate;[step];getViability;getRemainingCellRatio
84;1;36;30;1.007;216;41.48;100
91;1;36;50;1.007;216;41.48;100
92;1;36;50;1.007;216;41.48;100
99;1;48;10;1.007;216;41.48;100
100;1;48;10;1.007;216;41.48;100
107;1;48;20;1.007;216;41.48;100
108;1;48;20;1.007;216;41.48;100
115;1;48;30;1.007;216;41.48;100
116;1;48;30;1.007;216;41.48;100
123;1;48;50;1.007;216;41.48;100
124;1;48;50;1.007;216;41.48;100
131;2;12;10;1.007;216;41.48;100
132;2;12;10;1.007;216;41.48;100
139;2;12;20;1.007;216;41.48;100
140;2;12;20;1.007;216;41.48;100
147;2;12;30;1.007;216;41.48;100
148;2;12;30;1.007;216;41.48;100
155;2;12;50;1.007;216;41.48;100
156;2;12;50;1.007;216;41.48;100
163;2;24;10;1.007;216;41.48;100
164;2;24;10;1.007;216;41.48;100
172;2;24;20;1.007;216;41.48;100
171;2;24;20;1.007;216;41.48;100
179;2;24;30;1.007;216;41.48;100
180;2;24;30;1.007;216;41.48;100
187;2;24;50;1.007;216;41.48;100
188;2;24;50;1.007;216;41.48;100
195;2;36;10;1.007;216;41.48;100
196;2;36;10;1.007;216;41.48;100
203;2;36;20;1.007;216;41.48;100
204;2;36;20;1.007;216;41.48;100
211;2;36;30;1.007;216;41.48;100
212;2;36;30;1.007;216;41.48;100
219;2;36;50;1.007;216;41.48;100
220;2;36;50;1.007;216;41.48;100
227;2;48;10;1.007;216;41.48;100
228;2;48;10;1.007;216;41.48;100
236;2;48;20;1.007;216;41.48;100
235;2;48;20;1.007;216;41.48;100
243;2;48;30;1.007;216;41.48;100
244;2;48;30;1.007;216;41.48;100
251;2;48;50;1.007;216;41.48;100
252;2;48;50;1.007;216;41.48;100
259;3;12;10;1.007;216;41.48;100
260;3;12;10;1.007;216;41.48;100
267;3;12;20;1.007;216;41.48;100
268;3;12;20;1.007;216;41.48;100
275;3;12;30;1.007;216;41.48;100
276;3;12;30;1.007;216;41.48;100
283;3;12;50;1.007;216;41.48;100
284;3;12;50;1.007;216;41.48;100
291;3;24;10;1.007;216;41.48;100
292;3;24;10;1.007;216;41.48;100
299;3;24;20;1.007;216;41.48;100
300;3;24;20;1.007;216;41.48;100
307;3;24;30;1.007;216;41.48;100
308;3;24;30;1.007;216;41.48;100
315;3;24;50;1.007;216;41.48;100
316;3;24;50;1.007;216;41.48;100
323;3;36;10;1.007;216;41.48;100
324;3;36;10;1.007;216;41.48;100
331;3;36;20;1.007;216;41.48;100
332;3;36;20;1.007;216;41.48;100
339;3;36;30;1.007;216;41.48;100
340;3;36;30;1.007;216;41.48;100
347;3;36;50;1.007;216;41.48;100
348;3;36;50;1.007;216;41.48;100
355;3;48;10;1.007;216;41.48;100
356;3;48;10;1.007;216;41.48;100
363;3;48;20;1.007;216;41.48;100
364;3;48;20;1.007;216;41.48;100
372;3;48;30;1.007;216;41.48;100
371;3;48;30;1.007;216;41.48;100
379;3;48;50;1.007;216;41.48;100
380;3;48;50;1.007;216;41.48;100
387;4;12;10;1.007;216;41.48;100
388;4;12;10;1.007;216;41.48;100
395;4;12;20;1.007;216;41.48;100
396;4;12;20;1.007;216;41.48;100
403;4;12;30;1.007;216;41.48;100
404;4;12;30;1.007;216;41.48;100
411;4;12;50;1.007;216;41.48;100
412;4;12;50;1.007;216;41.48;100
419;4;24;10;1.007;216;41.48;100
420;4;24;10;1.007;216;41.48;100
427;4;24;20;1.007;216;41.48;100
428;4;24;20;1.007;216;41.48;100
435;4;24;30;1.007;216;41.48;100
436;4;24;30;1.007;216;41.48;100
443;4;24;50;1.007;216;41.48;100
444;4;24;50;1.007;216;41.48;100
451;4;36;10;1.007;216;41.48;100
452;4;36;10;1.007;216;41.48;100
459;4;36;20;1.007;216;41.48;100
460;4;36;20;1.007;216;41.48;100
467;4;36;30;1.007;216;41.48;100
468;4;36;30;1.007;216;41.48;100
475;4;36;50;1.007;216;41.48;100
476;4;36;50;1.007;216;41.48;100
483;4;48;10;1.007;216;41.48;100
484;4;48;10;1.007;216;41.48;100
491;4;48;20;1.007;216;41.48;100
492;4;48;20;1.007;216;41.48;100
500;4;48;30;1.007;216;41.48;100
499;4;48;30;1.007;216;41.48;100
507;4;48;50;1.007;216;41.48;100
508;4;48;50;1.007;216;41.48;100
515;5;12;10;1.007;216;41.48;100
516;5;12;10;1.007;216;41.48;100
523;5;12;20;1.007;216;41.48;100
524;5;12;20;1.007;216;41.48;100
531;5;12;30;1.007;216;41.48;100
532;5;12;30;1.007;216;41.48;100
539;5;12;50;1.007;216;41.48;100
540;5;12;50;1.007;216;41.48;100
547;5;24;10;1.007;216;41.48;100
548;5;24;10;1.007;216;41.48;100
555;5;24;20;1.007;216;41.48;100
556;5;24;20;1.007;216;41.48;100
563;5;24;30;1.007;216;41.48;100
564;5;24;30;1.007;216;41.48;100
571;5;24;50;1.007;216;41.48;100
572;5;24;50;1.007;216;41.48;100
579;5;36;10;1.007;216;41.48;100
580;5;36;10;1.007;216;41.48;100
